Dictorionary for conjoint_data.dta,
,
responseid,Unique ID
dv,"The outcome (Congress, Governor, City) we asked about in the hypothetical candidate comparison"
contest,The ranking task number (each respondent took the task 3 times)
winner,Whether this candidate won or lost
sample,Voter or legislator sample
female_respondent,Gender of respondent
orig_cand_female,Geder of hypothetical candidate
orig_cand_gender_string,Geder of hypothetical candidate (as string)
orig_0ys,Binary: did hypothetical candidate have 0 years of political experience?
orig_1ys,Binary: did hypothetical candidate have 1 year of political experience?
orig_3ys,Binary: did hypothetical candidate have 3 years of political experience?
orig_8ys,Binary: did hypothetical candidate have 8 years of political experience?
orig_UN_sp,Binary: was hypothetical candidate unmarried?
orig_FM_sp,Binary: was hypothetical candidate married to a farmer?
orig_MD_sp,Binary: was hypothetical candidate married to a dctor?
orig_teach,Binary: was hypothetical candidate a teacher?
orig_law,Binary: was hypothetical candidate a lawyer?
orig_may,Binary: was hypothetical candidate a mayor?
orig_leg,Binary: was hypothetical candidate a legislator?
orig_0ch,Binary: did hypothetical candidate have 0 children?
orig_1ch,Binary: did hypothetical candidate have 1 child?
orig_3ch,Binary: did hypothetical candidate have 3 children?
orig_29,Binary: was hypothetical candidate age 29?
orig_45,Binary: was hypothetical candidate age 45?
orig_65,Binary: was hypothetical candidate age 65?
democrat_respondent,Binary: is respondent a democrat?
republican_respondent,Binary: is respondent a republican?
